id,green1,green2,green3,green4,green5,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,intel1,intel2,intel3,intel4,intel5,intel6,intel7,intel8,intel9,intel10,open1,open2,open3,open4,open5,open6,open7,open8,open9,open10,student
9099,4,2,5,4,3,2,5,4,4,2,2,2,2,2,2,4,2,2,2,2,2,3,1,2,4,5,4,2,4,3,4,2,4,1,4,2
6275,3,5,3,3,1,4,5,4,5,5,1,1,1,1,1,4,4,3,4,4,4,3,3,3,3,4,4,3,5,3,4,4,5,4,3,2
8116,4,2,5,4,3,4,5,5,4,5,1,2,2,2,2,4,4,4,3,4,3,3,3,2,2,5,4,3,5,5,2,2,2,2,3,2
8586,4,3,5,4,3,4,5,5,4,5,1,1,2,1,2,2,2,4,4,4,3,4,1,4,4,5,3,4,4,4,2,2,2,1,2,2
0406,3,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,1,2,4,5,4,2,4,4,4,4,2,2,2,2
5645,4,3,4,4,3,5,5,5,4,4,2,4,1,2,2,4,4,3,4,5,2,2,2,2,2,4,4,2,5,4,4,2,2,3,2,2
3788,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
8424,4,3,2,2,2,1,1,1,2,2,4,4,4,3,3,4,4,4,4,5,4,2,2,1,1,1,2,2,4,1,1,5,4,3,5,2
8450,4,2,3,5,2,4,4,4,4,4,1,2,1,2,2,4,4,4,4,3,3,1,1,2,2,5,4,4,5,5,-99,3,2,1,2,1
0512,4,2,5,5,4,5,2,5,4,2,2,2,2,2,2,4,4,4,2,4,4,2,3,2,2,5,5,2,4,5,1,2,2,2,2,2
3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,3,2,4,3,3,4,5,5,4,4,2,2,2,2,2,4,4,3,2,4,4,2,1,4,2,4,4,4,4,4,4,2,2,3,2,2
5055,3,3,3,3,4,3,3,4,2,3,3,3,3,3,2,3,3,3,4,4,4,2,1,2,3,4,4,5,4,2,3,2,2,2,2,2
6912,4,3,3,3,3,4,4,5,4,5,2,2,2,2,1,3,2,2,4,4,3,3,2,2,2,4,3,3,3,4,2,3,2,2,4,2
8437,3,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,4,2,5,5,4,5,5,5,5,5,1,2,2,1,1,5,4,2,2,5,5,1,4,4,4,5,5,4,5,5,5,5,1,1,1,2
5549,3,4,4,4,3,4,2,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,2,4,2,4,2,4,2,5,4,2,2,2
1112,4,2,5,4,4,4,4,5,4,4,3,4,3,1,1,3,3,4,3,5,4,3,5,2,3,5,3,5,3,5,2,5,1,2,2,1
4872,3,3,3,2,1,4,4,4,5,4,2,3,2,2,1,2,3,2,2,3,2,4,4,4,4,4,3,3,3,3,3,4,3,4,3,2
3082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8917,4,4,4,3,2,4,4,5,5,4,2,1,1,1,2,4,5,3,4,4,4,2,4,4,2,4,2,2,4,1,2,5,4,2,4,2
2535,3,3,5,4,4,3,5,5,4,4,2,1,2,2,2,4,5,4,4,4,4,1,1,2,2,5,4,3,4,4,3,3,2,3,4,2
9587,5,4,4,2,2,5,5,5,5,5,1,1,1,1,1,2,3,4,4,2,2,1,1,3,4,5,5,5,5,5,3,4,2,2,1,2
3699,4,2,5,3,4,4,5,5,4,4,2,2,2,2,2,2,2,2,1,2,2,2,1,4,4,5,4,4,2,5,4,2,4,4,5,2
6037,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,3,2,4,2,2,4,4,4,4,4,4,3,2,2,2,1
7518,4,2,3,4,3,4,4,5,4,4,2,3,2,2,2,4,4,4,4,4,4,2,3,2,2,4,4,4,5,4,4,2,3,3,3,1
8813,2,4,3,2,1,4,3,3,4,2,2,3,2,3,3,4,4,4,3,4,4,1,2,2,2,4,4,4,4,5,4,5,4,5,4,2
3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4858,3,3,4,3,2,4,5,5,4,4,2,2,2,2,1,5,4,4,2,3,4,2,2,4,2,5,5,4,5,4,4,2,2,2,2,2
6551,2,4,4,4,1,4,5,5,4,4,2,2,3,2,2,2,4,2,3,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,5,1
4621,4,2,4,4,4,2,3,3,3,4,3,2,2,2,2,4,4,4,2,4,4,2,4,-99,-99,5,2,2,4,2,3,4,3,2,4,2
4635,3,4,5,3,1,5,4,5,4,5,2,2,2,2,2,4,4,4,4,4,4,2,1,2,2,5,4,3,4,5,4,2,2,2,2,2
9606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3915,3,5,4,3,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,1,2,2,5,4,4,5,4,4,4,2,2,1,2
9718,4,3,5,4,2,5,5,5,5,5,1,2,1,2,1,5,2,3,3,5,3,4,4,4,4,4,4,5,4,4,4,5,2,1,3,1
1130,4,2,5,4,2,4,4,4,3,4,2,2,2,2,2,4,3,4,5,4,4,2,1,2,3,4,4,5,5,4,4,2,2,2,2,1
7486,3,3,4,4,2,4,4,4,4,4,2,2,2,3,2,4,4,4,4,4,4,2,2,4,2,4,4,4,5,4,3,3,3,4,3,2
2555,5,2,3,3,4,5,4,5,4,3,2,2,2,2,2,4,4,3,3,4,4,3,4,3,2,4,5,4,4,3,4,2,2,2,3,2
6394,4,4,3,4,4,4,3,4,4,4,3,4,3,3,4,3,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,3,3,1
4138,3,4,3,3,2,5,5,5,5,5,1,1,2,1,1,4,4,4,3,4,4,2,3,3,2,4,5,3,4,4,5,2,2,3,2,2
0521,2,3,4,3,4,4,4,5,4,4,2,2,2,2,1,3,2,3,2,4,2,2,2,5,3,5,2,5,5,4,2,5,2,3,4,1
1304,5,4,4,2,3,3,2,4,3,2,3,4,2,2,3,5,2,2,2,5,3,3,2,2,1,3,3,2,3,3,5,4,4,4,2,1
8174,3,3,2,2,1,5,5,5,4,4,2,2,2,2,1,3,4,3,4,4,4,3,3,4,3,3,3,3,5,4,4,4,2,2,3,1
7625,3,3,2,2,1,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,
5922,3,4,2,2,2,2,3,2,4,4,3,2,2,2,3,5,4,4,4,4,4,3,2,3,4,4,2,2,3,3,4,5,4,4,3,2
9726,4,2,4,2,1,4,5,5,5,5,1,1,1,2,1,3,4,4,5,2,4,2,2,4,4,5,5,4,4,4,3,4,2,1,2,2
2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8312,4,3,3,3,3,4,3,3,3,3,4,3,2,3,2,4,2,3,3,2,2,4,2,4,2,3,4,4,4,3,4,4,2,2,2,2
7660,4,1,4,2,2,5,5,4,5,5,2,1,1,1,1,3,4,3,5,4,5,1,2,1,3,4,-99,5,2,4,4,3,4,2,1,2
2393,3,4,3,2,2,5,5,5,5,5,1,1,1,1,4,4,2,2,2,4,4,4,5,5,2,5,2,4,5,2,3,5,2,1,1,2
7369,4,3,4,4,2,4,5,4,4,4,2,2,,2,2,4,,4,4,4,4,4,4,,,4,2,4,4,4,2,4,2,2,,
7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0645,3,2,4,3,2,4,5,5,5,5,2,2,1,2,1,4,4,4,2,3,4,2,3,2,1,5,4,4,5,4,4,2,3,4,2,2
2384,3,3,4,2,2,5,5,5,4,4,2,2,2,2,5,4,4,3,3,4,3,3,4,3,2,5,4,3,5,3,4,4,2,2,4,2
7597,4,2,4,3,2,4,2,3,4,4,4,4,4,2,4,2,2,2,2,4,4,2,4,4,2,4,3,3,3,5,5,2,5,2,3,1
4562,4,2,4,3,4,4,5,5,5,4,1,2,1,1,2,5,4,4,2,2,4,4,4,2,2,5,5,4,5,5,4,2,2,1,2,2
4421,2,3,2,3,3,4,4,3,3,2,3,4,4,3,3,3,4,3,3,4,4,3,4,2,3,3,4,4,4,3,2,3,3,3,4,1
0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5689,4,2,4,3,4,3,3,4,4,4,4,2,2,1,4,5,4,4,4,4,4,2,1,2,2,4,5,4,4,4,4,3,4,3,2,2
8548,3,4,4,2,2,5,4,4,5,4,1,2,2,4,2,3,3,2,3,4,3,4,1,2,4,4,4,4,4,4,1,2,2,2,3,2
1912,4,3,4,3,3,4,4,4,4,4,1,2,1,1,1,3,3,3,3,4,4,2,3,3,3,4,4,2,4,4,4,2,2,2,2,2
5479,4,2,4,4,3,3,2,3,4,4,4,2,2,2,2,2,4,4,4,4,4,2,4,1,2,3,2,4,4,2,4,3,2,2,2,1
6692,5,4,3,2,2,4,2,4,4,5,2,3,2,2,1,4,2,4,2,4,4,3,2,4,4,4,4,2,4,2,4,5,3,2,5,1
9425,2,4,4,3,2,4,4,4,4,4,2,2,2,2,2,2,2,4,2,2,2,4,4,4,4,4,4,2,4,4,4,2,2,2,4,2
4176,5,2,4,4,4,5,5,5,5,5,1,1,1,1,1,5,4,2,4,4,5,2,2,2,1,5,5,5,5,4,5,2,2,3,1,2
3326,4,2,4,3,3,5,5,5,5,5,1,1,1,1,1,4,4,5,4,4,4,2,2,2,2,4,5,4,5,4,3,2,3,4,2,2
4827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0630,4,3,4,2,3,3,4,4,4,4,3,2,2,2,2,2,2,4,1,3,2,4,5,5,4,5,1,2,2,2,2,4,2,1,4,2
5025,4,2,3,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,4,2,2,4,2,4,4,4,2,4,4,2,2,1
2655,3,3,2,2,4,2,3,3,3,4,2,4,4,2,2,3,3,2,2,4,3,4,2,5,5,3,4,4,3,4,4,5,4,2,4,1
9261,3,3,2,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,3,-99,4,2,3,3,2,4,3,4,4,4,4,4,3,4,3,1
5186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9425,4,2,4,4,3,5,5,5,4,5,1,2,1,1,4,5,4,4,3,3,4,1,1,2,2,4,2,5,5,5,4,5,4,2,2,2
9237,3,3,4,2,2,5,5,5,5,5,1,1,1,1,1,4,4,2,4,4,3,2,2,2,3,5,4,5,5,4,5,2,2,2,2,2
5872,4,2,4,4,4,4,4,4,2,4,2,4,2,2,2,4,4,4,5,2,4,4,2,1,2,5,4,4,5,4,4,4,4,2,4,2
6523,3,3,3,3,3,5,5,5,5,5,1,1,1,1,1,4,4,4,4,4,4,2,2,2,2,4,5,4,5,4,5,2,2,2,2,2
0680,4,2,4,4,4,4,5,5,4,5,2,2,1,1,3,4,4,4,5,3,4,2,3,1,1,5,3,4,3,5,3,4,3,4,3,2
1523,3,4,2,3,2,4,3,5,4,4,2,2,2,2,2,4,4,2,4,4,4,4,5,5,2,4,4,3,4,4,5,4,4,4,4,2
0921,4,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8236,2,1,4,3,2,5,5,5,5,5,1,1,1,1,1,4,3,2,4,4,2,4,4,2,4,5,5,4,4,4,4,2,4,4,2,2
2615,3,4,3,3,2,4,4,4,5,4,2,1,3,4,1,5,5,3,3,5,5,3,2,1,2,3,5,2,5,5,2,1,5,3,4,2
2690,2,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7438,4,4,3,3,5,4,4,4,4,4,3,3,3,3,2,3,4,4,4,3,3,2,2,3,4,4,4,4,4,4,4,3,4,4,4,2
7789,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7952,5,3,4,4,3,4,4,5,4,4,2,2,3,2,2,5,5,5,4,5,5,1,1,2,1,5,3,5,4,5,4,3,2,3,2,1
0104,2,4,4,2,2,4,4,4,4,4,2,2,2,2,2,4,4,5,4,3,4,2,2,1,2,5,5,4,5,4,2,1,2,2,1,2
4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,3,4,4,3,3,4,4,5,4,5,2,1,2,2,2,4,5,4,3,4,4,1,3,2,2,5,2,5,5,4,3,5,2,1,5,1
9559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5835,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0045,2,4,5,4,4,4,4,5,4,4,4,2,,,,4,,4,3,4,,2,3,,,5,5,,4,4,4,5,2,1,,
7779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9489,3,4,4,3,4,4,4,4,4,4,3,3,2,2,2,4,4,4,3,4,4,2,2,4,2,5,5,3,4,4,4,4,2,2,2,
6306,2,4,2,2,2,4,4,4,4,4,2,2,2,2,1,2,2,3,2,2,2,4,4,4,4,4,2,2,2,2,2,5,2,3,4,2
6626,4,2,3,3,4,4,4,4,4,4,2,2,2,2,2,4,3,4,3,4,4,2,3,3,2,4,5,4,4,4,5,2,2,1,2,2
8425,4,2,4,4,2,4,4,2,4,4,4,3,4,4,2,5,4,4,4,3,4,3,2,2,4,4,3,5,2,4,4,2,2,2,4,1
2873,3,3,4,3,3,3,4,4,4,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,5,3,5,3,4,2,2,1,3,2
8879,4,4,4,4,4,5,5,5,5,5,1,1,1,1,1,4,5,5,4,5,4,1,2,2,2,5,5,5,5,5,5,1,2,1,2,2
4914,4,2,4,4,3,4,4,4,4,4,3,2,2,2,1,4,3,2,4,2,4,2,2,3,4,4,4,4,4,4,4,2,2,1,2,1
1719,3,3,2,1,2,5,4,5,5,5,1,3,2,1,2,4,5,4,3,4,3,4,4,3,3,3,4,4,4,5,4,3,3,3,3,2
3680,2,4,5,2,4,2,4,4,4,4,4,2,2,2,2,4,5,4,4,4,5,2,2,2,2,4,2,5,5,2,4,2,2,2,1,2
7487,4,4,4,3,2,4,5,4,5,4,2,3,2,2,2,5,5,5,5,5,5,2,2,2,1,5,5,4,5,4,5,3,1,3,2,1
6592,3,4,5,4,3,4,4,4,4,4,2,2,2,2,2,4,4,4,2,4,2,2,2,5,2,5,2,4,2,4,2,5,2,4,4,1
0708,4,4,4,3,3,3,5,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,2,4,1,4,4,4,3,4,4,3,2,2,2,2
7826,4,4,5,3,2,4,4,4,4,4,2,2,2,2,2,4,4,4,3,3,4,2,4,2,2,5,5,3,5,4,4,2,4,2,2,2
7597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6612,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,2,4,4,2,2,4,4,2,4,4,4,4,4,4,2,2
4204,4,2,4,4,4,3,4,4,4,4,2,3,2,2,2,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,2,2,2,2,4,1
4820,3,4,4,3,2,5,5,5,5,5,2,2,2,1,2,5,4,4,4,4,4,2,2,2,2,4,4,5,4,4,4,2,4,4,2,2
7052,3,3,4,3,3,4,4,4,4,4,2,2,2,2,2,4,2,4,2,3,3,2,2,4,2,4,3,4,3,4,4,3,2,2,4,2
4016,3,4,3,4,3,4,4,3,4,4,3,2,3,3,3,4,4,3,3,4,4,3,4,3,3,3,4,3,3,3,3,5,3,1,3,1
7234,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2418,4,3,5,4,3,5,4,5,5,4,2,2,2,2,1,4,4,3,5,4,4,3,3,2,2,4,4,5,5,3,4,3,4,4,2,2
0957,3,3,4,3,2,5,5,5,5,4,4,2,1,1,2,5,4,5,4,4,4,3,2,2,2,5,2,4,4,4,5,4,3,4,2,1
9304,2,3,3,4,3,4,2,4,2,2,4,4,4,3,3,4,2,2,3,4,4,3,3,3,3,3,3,3,2,2,4,3,3,3,4,1
2627,3,3,4,4,2,4,4,5,4,3,3,2,2,3,2,4,4,4,4,4,4,3,4,3,2,5,4,4,4,4,3,4,2,2,4,1
3441,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8981,3,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8633,3,2,4,3,3,4,4,4,4,4,2,2,2,2,2,4,4,2,3,2,3,3,4,3,2,4,4,3,4,3,3,4,3,2,4,1
7788,4,3,5,4,4,4,5,5,5,4,1,1,2,2,1,4,4,2,2,4,2,2,2,2,2,5,5,4,3,5,4,2,4,4,2,2
3789,4,2,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8315,3,3,2,4,4,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2
2593,4,3,4,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,3,4,4,2,2,4,2,4,2,4,4,3,2,4,2,2,4,1
2326,4,2,5,4,4,4,4,4,4,4,2,2,2,2,1,5,4,4,4,4,4,2,2,2,2,5,4,3,3,4,3,2,2,2,3,1
7290,4,2,4,4,4,4,4,4,2,4,2,2,2,2,3,-99,2,2,4,4,4,3,2,2,2,4,5,4,4,3,4,2,2,2,2,1
2826,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,2
2963,4,2,3,3,3,2,3,3,3,2,3,2,3,3,3,4,3,4,3,3,3,4,2,3,3,3,4,2,3,2,2,3,2,3,3,1
6395,4,2,4,3,3,4,4,4,4,-99,3,3,2,2,2,3,3,3,2,3,3,3,-99,3,3,4,4,3,3,4,3,2,3,4,2,2
3965,2,4,5,3,4,4,4,4,4,4,2,3,2,2,2,4,4,4,3,4,4,2,2,4,2,5,5,4,4,5,5,5,2,1,1,2
7669,4,2,5,5,3,5,5,5,5,5,1,1,1,1,1,1,1,3,4,4,1,1,1,5,4,5,5,2,5,5,5,1,1,1,1,1
3195,3,2,4,4,3,4,4,5,4,5,1,2,2,2,2,4,4,4,2,4,3,4,4,4,3,4,4,2,3,4,3,4,2,4,2,2
0219,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2
3545,4,3,5,4,3,,4,5,,,,,,,,3,,,,3,,,2,,,,,,,,,,,2,,
4178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,3,4,4,4,2,5,4,5,5,4,2,2,2,2,1,3,4,4,4,4,4,2,4,2,2,4,4,4,4,4,3,4,2,2,2,2
2790,4,2,4,4,4,4,5,5,5,4,2,3,2,2,2,4,4,4,4,4,4,2,2,2,2,5,4,4,4,5,4,3,3,3,2,2
0748,4,2,4,4,4,4,4,3,4,4,3,3,3,3,2,4,3,3,2,3,3,3,2,4,3,5,3,3,5,-99,3,2,3,3,3,1
3889,3,4,4,4,4,3,4,4,4,4,3,2,3,2,3,4,4,4,3,4,4,2,2,3,3,5,4,3,4,4,4,4,2,2,4,1
9895,4,3,4,3,3,4,2,4,4,4,2,3,3,2,2,3,4,2,2,3,3,3,4,4,2,4,4,4,3,4,4,4,4,4,2,2
6931,4,1,5,5,4,4,4,5,4,4,1,1,2,1,2,4,4,5,4,4,4,2,2,2,2,5,3,3,4,4,4,4,4,3,4,1
3979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,3,2,5,3,3,4,4,4,4,4,2,2,2,2,1,4,4,2,4,4,5,2,2,2,2,5,5,4,4,5,4,1,2,2,2,2
3672,4,4,5,2,4,,4,4,,,2,,,,,2,,,,4,,,2,,,5,2,,,,5,,4,2,,
1869,3,4,5,3,2,5,4,5,4,4,2,1,1,2,1,4,5,4,5,5,5,2,2,2,2,5,2,4,3,5,2,4,2,2,2,1
4200,2,4,2,3,2,2,4,2,4,4,2,2,2,2,2,3,2,2,2,2,3,3,2,4,4,4,3,3,4,4,4,2,4,3,4,2
0445,4,3,5,4,4,4,4,4,4,4,2,2,4,2,2,3,4,2,2,2,4,4,4,4,5,5,4,4,4,5,4,3,2,2,2,2
9580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,4,2,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392,3,4,3,2,3,4,3,4,4,4,3,2,1,1,1,2,4,3,2,3,4,4,4,3,3,3,3,4,3,3,3,3,3,4,2,1
8242,4,4,2,2,2,4,3,4,4,4,3,2,4,2,2,4,4,3,2,4,4,3,2,4,2,3,3,4,5,4,4,4,4,2,4,2
7861,3,3,3,3,3,,5,5,,,,,,,,3,,,,5,,,2,,,,,,,,,,,2,,
5957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6727,4,3,3,3,3,,4,4,,,2,,,,,3,,,,3,,,2,,,4,4,,,,,,,2,,
1553,4,3,5,4,3,4,4,4,3,5,2,2,2,2,2,2,3,4,4,4,4,4,2,4,4,5,2,5,2,5,5,4,4,4,4,2
2478,4,3,4,3,4,3,3,4,3,3,3,4,4,3,3,4,4,4,3,4,3,4,2,4,3,3,3,3,3,3,4,4,3,2,2,2
8962,4,2,4,3,2,4,5,4,5,5,2,2,4,2,2,4,5,4,1,5,2,2,4,4,2,4,1,5,4,2,3,4,3,4,4,1
3091,4,2,5,4,4,5,4,5,4,4,1,1,1,1,1,4,5,4,4,5,4,1,1,2,1,5,4,4,5,3,4,2,2,2,3,2
0256,5,2,5,4,5,2,4,4,4,,2,2,,,,3,,5,,3,,2,2,,,5,3,,2,,2,4,2,2,,
7303,4,2,4,4,3,4,4,4,4,4,2,2,2,2,2,5,4,5,5,5,4,1,1,1,2,4,4,5,4,4,4,2,1,1,2,1
3807,5,1,5,5,5,4,4,4,5,5,2,4,2,1,1,3,4,5,3,3,3,2,2,3,2,5,4,3,3,4,2,4,2,2,3,1
0279,4,3,3,3,3,2,4,4,4,4,2,2,2,2,2,5,5,5,4,5,5,1,2,2,1,4,4,4,5,4,5,2,1,1,2,
6089,4,2,5,4,4,5,4,4,4,4,2,2,2,2,2,5,5,4,4,5,5,1,1,2,1,5,5,5,4,5,5,2,1,1,1,1
3442,3,1,1,2,2,4,4,3,4,4,2,2,2,4,2,4,4,2,2,3,4,3,4,2,4,3,4,4,4,4,4,2,2,3,4,2
1722,4,4,3,4,2,-99,4,4,-99,-99,3,-99,-99,-99,-99,4,-99,-99,-99,4,-99,-99,2,-99,-99,4,4,-99,-99,-99,4,-99,4,2,-99,1
2558,4,2,5,3,2,5,5,5,5,2,2,2,2,2,2,4,4,4,4,4,4,2,2,4,2,5,4,4,4,4,4,4,2,2,2,1
1899,5,4,5,4,4,4,4,4,4,4,2,2,2,2,2,4,2,3,4,4,4,4,2,4,3,4,4,4,5,4,2,3,2,2,4,1
2775,4,3,4,3,3,4,4,4,4,4,1,2,2,2,1,4,4,4,4,4,3,2,2,3,2,5,5,5,5,4,5,2,1,1,2,2
6641,3,3,4,3,3,3,4,5,4,4,2,3,2,2,2,4,4,4,4,4,4,2,2,3,3,4,4,4,5,4,3,2,2,4,3,1
4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7787,4,2,5,4,4,2,3,2,4,3,3,3,2,3,2,3,2,3,1,4,2,3,2,5,3,5,1,4,4,3,1,4,2,2,3,-99
1897,3,3,3,3,4,5,5,5,5,5,1,1,1,1,1,4,4,4,3,3,5,2,4,4,2,4,3,4,3,4,4,5,2,5,4,2
0370,4,3,4,3,3,4,5,5,5,5,1,1,2,1,2,5,5,5,4,3,4,2,1,2,1,4,2,5,4,2,2,4,4,5,4,2
4355,4,2,4,3,3,4,4,4,4,4,2,1,3,2,2,5,4,4,4,4,4,2,2,2,2,4,4,3,2,3,4,2,2,2,2,2
3853,3,4,3,3,2,4,5,4,4,4,3,2,2,3,2,3,4,3,3,4,3,2,4,2,3,4,4,3,4,4,3,4,2,3,3,2
4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642,3,4,4,3,3,4,4,4,4,4,2,2,3,3,3,4,3,4,4,4,3,2,1,3,3,4,4,3,4,4,2,3,2,2,3,1
